사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202509,7호선,이수,31,0,4778,1347,10596,18036,32190,19625,45153,45000,31880,31860,21962,21412,21014,20810,24117,20815,24960,23894,24773,23568,27173,25985,36097,31412,38851,44210,47757,61085,28437,39592,25259,22593,27567,18303,24333,16169,12145,9862,1995,3118,1,9,1,0,0,0,20251003
202509,7호선,자양(뚝섬한강공원),13,0,5332,732,10706,4396,25081,7495,33463,14266,21258,11134,12855,9255,11104,9954,11768,11969,11985,14967,11961,16512,13793,21432,16383,27301,18921,39587,21679,61667,22670,55235,40374,25228,40670,17354,24782,13487,11109,6297,1525,1949,0,1,0,0,0,0,20251003
202509,7호선,장승배기,14,0,5520,2218,12056,9569,28633,10986,38958,23713,24928,13934,16668,10815,15137,10677,15595,13035,15454,13901,14187,13765,15549,16759,18605,18003,19395,22630,19364,32476,9825,23304,8513,15276,8090,13396,5442,11750,2028,7724,466,2550,0,0,0,0,0,0,20251003
202509,7호선,장암,6,1,2244,238,8831,1360,19484,1503,13425,1993,5577,2467,2999,2717,2684,3302,3221,2738,3591,2026,3815,1487,3974,1744,3968,2142,4077,2729,3708,3873,2073,2997,1190,1951,786,881,568,935,191,639,28,248,0,0,0,0,0,0,20251003
202509,7호선,중계,63,1,10240,2202,26736,6085,66122,19491,66724,33321,35462,16863,25107,12871,22701,14764,26784,15137,22584,15821,20778,15921,19712,20043,26102,24161,22686,32402,19351,50639,10848,47935,7852,28410,9185,23863,7159,20977,2727,12227,423,3721,0,0,0,0,0,0,20251003
202509,7호선,중곡,18,7,6933,761,14181,4607,32848,18756,47507,32250,29010,15839,18470,10180,16521,9814,16080,11097,15362,12188,14174,12771,14987,16057,21859,19935,23658,24077,25071,35481,13356,28684,8527,17741,6902,16332,5535,13945,1921,7644,434,2766,0,0,0,0,0,0,20251003
202509,7호선,중화,161,0,8486,990,16722,4551,38997,10335,49427,24338,28236,12540,17917,10335,16144,10751,17083,12421,15874,12852,13903,13767,15225,18038,17580,22599,18650,26069,19830,40657,12024,34355,8042,21285,6745,18709,5056,17375,2229,10268,370,3001,1,16,0,0,0,0,20251003
202509,7호선,천왕,29,0,8989,814,21909,5567,59471,10956,62397,20608,34520,9460,19906,8393,16354,9320,16001,12438,14606,12972,13209,14249,14838,18994,17042,23374,16522,33473,15912,49802,7738,39480,5551,23016,4048,19131,2823,16848,1199,10720,293,2772,1,92,0,0,0,0,20251003
202509,7호선,철산,15,0,11658,3619,38249,10444,99631,19240,97493,37817,54108,27688,34924,20632,32092,21142,33369,24299,28865,27860,27143,27966,28629,34808,33175,45436,35530,68170,36658,103137,21513,76630,19380,42598,18216,37202,15333,32788,6422,19096,1232,5759,0,0,0,0,0,0,20251003
202509,7호선,청담,18,1,2735,3699,6917,33050,12644,62130,16549,139893,14178,89271,13259,36753,16433,22570,20325,22081,20276,23894,24987,21097,33099,18831,46447,19890,73061,21242,107442,21845,53186,17513,30640,11190,28278,9320,21755,6864,5550,3542,788,2334,0,0,0,0,0,0,20251003
